vin,lat,lng,currentElectricity,averageEnergyConsumption,chargeStatus,bcuSOH
LS6A2E0E8KA001717,31.96284,118.75671,94,969932.8,3,99.9
LS5A2DJX4KA001227,31.99942,118.78117,73,871628.8,1,100
LS5A2DJX3KA002482,31.99871,118.76073,57,897843.2,3,100
LS6A2E0E9KA010183,30.37102,120.17604,51,989593.6,3,100
LS6A2E0E4KA002394,32.09306,118.78589,83,989593.6,3,100
LS5A2DJX2KA002389,32.07062,118.7619,69,845414.44,3,98.4
LS6A2E0E6KA009072,29.80631,121.54063,91,1101004.9,3,100
LS6A2E0E1KA001963,32.02633,118.77082,79,996147.2,3,100
LS6A2E0E2KA009201,30.11736,120.12254,65,904396.8,3,100
LS6A2E0E4KA002721,0,0,98,983040,1,99.9
LS5A2DJXXKA001085,32.23122,118.73469,96,943718.44,1,94.9
LS6A2E0E3KA002158,0,0,90,1074790.4,3,100
LS6A2E0E3KA002919,32.1486,118.94552,82,832307.2,3,100
LS6A2E0E1KA001705,31.94629,118.85407,53,1068236.9,1,100
LS6A2E0E7KA009050,27.28227,111.58931,52,897843.2,1,100
LS6A2E0E7KA003183,32.12169,118.9179,52,851968,3,100
LS5A2DJX2KA002179,29.74079,106.62444,66,1087897.6,3,100
LS5A2DJX2KA004661,29.55937,106.44244,99,806092.8,1,100
LS6A2E0E0KA002439,32.16126,118.85351,88,819200,3,100
LS5A2DJX7KA006504,32.14482,119.52531,43,989593.6,3,100
LS5A2DJX1KA005610,29.59476,106.31363,79,825753.6,3,100
LS6A2E0E6KA002929,31.91076,118.89926,94,812646.44,3,100
LS6A2E0EXKA009415,30.32161,120.14849,51,891289.6,3,100
LS6A2E0E4KA001066,32.09595,118.85892,80,989593.6,3,100
LS6A2E0EXKA002397,31.95448,118.81116,62,832307.2,1,100
LS5A2DJX2KA002554,32.062,118.91844,90,1009254.44,3,98
LS5A2DJX4KA002118,32.05677,118.6232,51,917504,3,94.6
LS6A2E0E4KA001424,32.13157,118.86296,74,1061683.2,1,100
LS6A2E0E3KA001298,32.13275,118.72374,59,825753.6,3,100
LS6A2E0E3KA002466,32.03849,118.79844,73,884736,3,100
LS6A2E0E4KA009135,29.7061,120.27597,71,969932.8,1,100
LS6A2E0E1KA002952,32.05846,118.73487,87,950272,3,100
LS6A2E0E8KA002625,32.06679,118.73378,99,1159987.2,3,100
LS5A2DJX1KA001217,32.08695,118.81108,94,904396.8,3,98
LS6A2E0E0KA001047,32.1397,118.71344,92,806092.8,3,100
LS6A2E0E6KA002686,32.15884,118.70108,87,943718.44,3,100
LS6A2E0E6KA002817,32.41774,118.72036,76,956825.6,3,100
LS6A2E0E7KA002096,32.01868,118.78445,51,1205862.4,3,100
LS5A2DJXXKA002592,32.15593,118.89133,89,884736,3,89.9
LS5A2AJX5KA003969,35.44781,119.53421,63,871628.8,3,95
LS6A2E0E7KA001093,0,0,76,832307.2,3,100
LS6A2E0E1KA003082,32.0963,118.88578,72,1074790.4,3,100
LS6A2E0E3KA009126,29.82428,121.39059,81,1048576,3,100
LS6A2E0E9KA002908,31.96304,118.80138,75,996147.2,3,100
LS6A2E0E4KA009071,30.1676,121.30883,69,1146880,3,100
LS6A2E0E3KA002242,32.0528,118.76912,86,996147.2,3,100
LS5A2DJX0KA002519,29.47993,106.46785,40,806092.8,3,99.700005
LS5A2DJX5KA001088,32.11992,118.83227,89,865075.2,3,100
LS6A2E0E6KA003045,32.08348,118.75736,28,897843.2,3,100
LS6A2E0E5KA002078,32.23465,118.7581,82,1087897.6,3,100
LS5A2DJX6KA004789,29.55107,106.54585,88,806092.8,3,100
LS5A2DJXXKA002558,31.99027,118.74449,88,989593.6,3,99.9
LS5A2DJX0KA004299,29.56154,106.57194,68,806092.8,3,100
LS5A2DJX3KA004426,29.6085,106.56433,99,1074790.4,3,100
LS6A2E0E9KA002410,31.93719,118.85333,82,924057.6,3,100
LS6A2E0E7KA003085,31.97572,118.71534,44,851968,3,100
LS5A2DJX8KA002753,31.96749,118.7441,59,1074790.4,3,91.1
LS5A2DJX8KA002171,32.09414,118.95353,99,819200,3,97.6
LS5A2DJX9KA002969,0,0,86,1009254.44,1,99.3
LS5A2DJX1KA002125,32.00815,118.77832,63,806092.8,3,97
LS6A2E0E7KA002759,32.01512,118.72034,79,1002700.8,3,100
LS5A2AJX5KA004118,35.04686,111.01576,22,950272,3,100
LS5A2DJX5KA002905,31.9158,118.89837,58,910950.44,3,99.9
LS5A2AJX6KA003415,35.04368,111.00116,35,1028915.2,3,99.5
LS5A2DJX1KA001217,32.08645,118.80342,94,904396.8,3,98
LS6A2E0E7KA001496,31.98997,118.79453,98,1074790.4,3,100
LS5A2DJX3KA002529,32.03112,118.89564,90,806092.8,3,97.4
LS5A2DJX8KA002915,32.03003,118.73456,88,806092.8,3,100
LS6A2E0E9KA002732,32.04213,118.85511,89,806092.8,3,100
LS5A2AJX1KA003466,35.08036,111.03453,100,976486.44,3,100
LS6A2E0E7KA002096,32.01803,118.7855,51,1205862.4,3,100
LS5A2DJX0KA001046,32.04242,118.77333,79,963379.2,3,100
LS5A2DJX0KA002147,32.06955,118.76183,74,878182.44,3,100
LS5A2DJX7KA001027,32.06849,118.78268,80,924057.6,3,100
